route_id,route_accessible
"0001","1"
"0002","1"
"0003","1"
"0004","1"
"0005","1"
"0006","1"
"0008","1"
"0009","1"
"0011","1"
"0014","1"
"0031","1"
"0032","1"
"0033","1"
"0034","1"
"0035","1"
"0037","0"
"0040","1"
"0041","1"
"0044","1"
"0050","1"
"0051","1"
"0052","1"
"0053","1"
"0054","1"
"0055","1"
"0056","1"
"0057","1"
"0059","0"
"0061","1"
"0064","1"
"0065","1"
"0067","1"
"0068","1"
"0070","1"
"0071","1"
"0072","1"
"0073","1"
"0074","1"
"0075","1"
"0076","1"
"0077","1"
"0078","1"
"0079","0"
"0081","1"
"0091","0"
"0094","1"
"0096","1"
"0150","1"
"0151","0"
"0152","0"
"0153","1"
"0154","1"
"0155","1"
"0156","0"
"0157","1"
"0158","1"
"0159","0"
"0161","0"
"0164","1"
"0167","0"
"0168","1"
"0172","0"
"0173","0"
"0200","0"
"0201","0"
"0202","0"
"0203","0"
"0204","0"
"0205","0"
"0206","0"
"0207","0"
"0208","0"
"0209","0"
"0210","0"
"0211","0"
"0212","0"
"0213","0"
"0214","0"
"0215","0"
"0216","0"
"0217","0"
"0220","0"
"0221","0"
"0222","0"
"0223","0"
"0224","0"
"0225","0"
"0226","0"
"0227","0"
"0228","0"
"0229","0"
"0230","0"
"0231","0"
"0232","0"
"0233","0"
"0234","0"
"0235","0"
"0236","0"
"0237","0"
"0238","0"
"0239","0"
"0240","0"
"0804","0"
"0805","1"
